,Cost
213,21314.754889581818
214,21515.344705890337
215,21471.28205789472
216,21396.702039586908
217,21447.710124668407
218,21610.540718681896
219,21695.27592033698
220,21500.507735145744
221,21621.085616657496
222,21480.601842529693
223,21528.265785816773
224,21462.575274413466
225,21462.997542094294
226,21569.88455841777
227,21463.412453040764
228,21497.780828105733
229,21844.188962649998
230,21483.157237376
231,21511.306261547135
232,21674.164779632236
233,21628.503896188242
234,21418.851849067865
235,21600.30835646399
236,21644.50580454544
237,21447.09065938166
238,21480.429452305645
239,21438.65073698164
240,21494.23040895468
241,21535.539556411655
242,21361.029250300464
243,21480.2934182596
244,21391.93098689037
245,21683.970338162173
246,21546.842087571225
247,21625.764711589945
248,21761.10001212028
249,21298.83684104392
250,21393.214780306167
251,21399.984430670207
252,21485.05578361999
253,21545.54108592622
254,21523.070629495287
255,21506.511182622664
256,21620.670164749852
257,21427.95541310498
258,21469.98875808646
259,21564.633125737608
260,21466.94176153367
261,21549.797795684965
262,21671.899211109496
263,21599.053540866895
264,21485.23162730513
265,21514.610326774393
266,21460.78453285816
267,21522.94517771343
268,21490.432598973006
269,21486.138211080615
270,21474.121450473387
271,21611.64301143514
272,21689.496693198405
273,21420.741235191395
274,21498.32028517311
275,21658.081460143316
276,21486.539667504578
277,21570.831494220838
278,21440.424254591748
279,21422.32243345966
280,21560.25492634609
281,21394.02991089155
282,21561.07098357068
283,21588.43694925675
284,21512.040919239036
285,21478.92049044802
286,21611.422833222146
287,21483.33548274536
288,21414.031815664825
289,21391.38684563064
290,21408.185878616303
291,21529.180232481674
292,21621.70047871312
293,21709.245855224137
294,21421.833967422746
295,21223.273332576493
296,21473.422813368335
297,21432.215442400615
298,21400.552295052177
299,21400.9065083623
300,21611.812098314833
301,21593.659400779175
302,21704.695333646152
303,21488.644575547547
304,21741.348607841705
305,21377.43860367156
306,21637.31886236265
307,21547.18589333375
308,21586.1830693535
309,21476.519356106946
310,21356.893558834083
311,21406.594758343297
312,21529.808111635648
313,21357.536898342325
314,21485.746503892326
315,21593.937957457674
316,21324.059025825576
317,21472.161275641953
318,21686.420677465918
319,21526.767759317023
320,21551.676471062707
321,21523.19822206723
322,21230.102138641487
323,21481.314864744538
324,21448.44877564496
325,21370.59265201885
326,21576.421599515175
327,21433.336831354838
328,21661.774240272636
329,21681.732566479906
330,21503.405665035345
331,21467.407802117898
332,21390.467103554925
333,21629.121218023174
334,21363.137974767338
335,21499.189987247057
336,21494.283007180733
337,21601.28441184385
338,21515.095494879173
339,21337.382316240175
340,21465.115503384543
341,21568.533408045365
342,21522.615284224292
343,21696.143762474756
344,21369.60532057196
345,21547.524510171126
346,21405.37850167146
347,21399.919295170923
348,21472.906023463376
349,21709.920425829674
350,21415.705854580094
351,21516.382111683324
352,21458.769270993398
353,21659.894595281556
354,21542.672743887368
355,21449.302595783684
356,21573.836307113444
357,21616.934772939523
358,21569.342072093757
359,21252.926661794627
360,21611.232729698433
361,21484.160337494413
362,21638.703856804084
363,21686.13958918959
364,21390.185814434284
365,21589.576255583757
366,21476.02065636799
367,21685.761314417727
368,21360.94963539817
369,21544.251147740688
370,21401.80634376361
371,21459.918269394213
372,21471.21836377786
373,21467.964681665075
374,21575.982762597167
375,21683.153728153862
376,21482.640958631848
377,21497.400146622444
378,21523.928954829866
379,21311.0625622508
380,21483.103403112753
381,21458.78218533013
382,21572.750749740357
383,21381.597879621404
384,21609.1491992287
385,21376.00508052308
386,21396.861721039386
387,21606.596444448005
388,21498.76026065601
389,21544.55893540894
390,21524.424993895766
391,21347.759399567556
392,21507.887840390133
393,21628.30893496293
394,21572.852290184554
395,21433.872027195277
396,21408.847989678154
397,21450.455150984246
398,21457.414199185263
399,21515.35635957891
400,21769.171892543898
401,21490.910140384574
402,21429.17874645657
403,21495.099294857697
404,21327.263762645598
405,21534.110484053806
406,21501.305040021452
407,21513.07931033185
408,21575.446427498002
409,21383.094770042415
410,21527.42570569433
411,21367.503030358872
412,21492.070492107872
413,21517.72665564491
414,21396.38713690717
415,21584.727931685167
416,21654.44928361781
417,21387.674282856555
418,21587.726320480644
419,21629.596204122878
420,21478.83164369306
421,21441.71145690658
422,21320.630087143647
423,21555.62949209148
424,21547.969299464923
425,21527.82413196106
426,21594.306764785553
427,21449.132977495712
428,21432.214194850083
429,21577.701959675243
430,21382.997060755886
431,21596.961410899246
432,21535.016176819234
433,21535.350624671097
434,21442.396070392315
435,21412.19395448084
436,21476.100416203124
437,21365.64148508847
438,21604.99534254361
439,21401.11793298181
440,21478.275632038094
441,21638.923796734896
442,21502.02618380965
443,21443.242134800174
444,21564.114855499847
445,21506.535118263906
446,21556.639314479835
447,21623.710601600003
448,21393.609678311008
449,21415.407886800385
450,21409.408812369198
451,21514.962956445106
452,21532.35563541971
453,21445.389563578043
454,21451.772585072715
455,21496.66293710026
456,21483.070299412357
457,21421.078434469244
458,21424.029356897325
459,21584.09320840562
460,21542.32065777402
461,21662.628657962014
462,21563.552638463276
463,21365.386963944635
464,21578.182742313395
465,21221.1486428558
466,21583.212086265496
467,21588.34352110896
468,21632.578403296022
469,21705.320743299795
470,21635.265047346125
471,21514.926215141837
472,21180.13889464148
473,21449.969938089336
474,21356.7762588677
475,21508.640299475424
476,21448.73053689504
477,21595.920451939328
478,21418.264923099847
479,21566.591484621465
480,21557.933430957004
481,21533.167336957624
482,21583.091427028296
483,21549.770525719738
484,21453.4717107244
485,21582.156708283015
486,21557.868787902087
487,21473.095038440402
488,21501.323156025115
489,21435.2282059896
490,21478.536629347756
491,21331.77785015259
492,21184.94599845459
493,21508.208523902504
494,21398.00320890095
495,21574.82345224758
496,21461.26992393152
497,21349.62956836583
498,21588.263095143862
499,21371.59970755252
500,21523.418714784482
501,21462.76410989596
502,21441.926929115154
503,21490.110074893506
504,21654.65740458276
505,21545.98311050986
506,21544.421125151785
507,21478.862922044562
508,21518.946071344923
509,21342.66628447646
510,21528.502121917587
511,21600.80205369772
512,21523.7078681919
513,21335.538772192238
514,21497.943686290382
515,21315.455790806947
516,21639.186888816737
517,21518.999585921956
518,21624.389920595964
519,21405.38937398388
520,21550.52582559872
521,21445.241757526004
522,21451.00255007909
523,21569.134978607577
524,21673.20330028572
525,21583.56108992583
526,21399.686216213995
527,21390.370784126248
528,21367.815733797233
529,21587.243665020425
530,21596.51278213669
531,21373.79569138477
532,21507.621292952994
533,21433.63497429111
534,21547.79205988973
535,21577.33676166154
536,21680.64234832587
537,21384.65747379212
538,21582.576776132166
539,21555.5483632119
540,21598.96411227376
541,21490.858459665913
542,21598.910135748527
543,21469.108006210736
544,21338.877473710352
545,21379.801759729275
546,21624.32752778856
547,21446.676027941638
548,21460.147851665686
549,21489.464378645498
550,21437.21939129898
551,21469.1446371154
552,21511.005759212094
553,21539.54168264333
554,21431.765568452247
555,21487.247015313136
556,21350.168408722187
557,21495.38061873814
558,21459.69964038259
559,21439.720443520855
560,21661.905466009623
561,21430.928329366783
562,21441.835687705396
563,21553.15795382585
564,21423.033322794858
565,21434.900427628076
566,21416.86568846495
567,21493.202169702046
568,21509.598566662287
569,21568.5536029361
570,21695.52910766252
571,21504.965352018706
572,21652.657913694424
573,21664.885866918397
574,21246.797809315176
575,21370.98763770553
576,21492.30038876961
577,21409.281590886276
578,21522.970896612947
579,21513.048467959783
580,21574.579037250933
581,21488.058230411785
582,21661.653987424295
583,21443.859288858643
584,21552.32472245065
585,21586.070317612903
586,21406.904229481213
587,21407.518545786956
588,21473.74751608629
589,21468.920357324834
590,21288.24761409768
591,21498.18450345358
592,21627.167108074264
593,21502.91649113004
594,21669.042804990517
595,21456.49404608214
596,21378.732928033463
597,21699.781521079254
598,21379.85595558524
599,21464.025843988213
