Intervals,Q_CCGT
1,25.89489187290896
2,24.39489187290896
3,22.89489187290896
4,24.39489187290896
5,24.385551377557565
6,23.633642426355916
7,22.133642426355916
8,21.206472310045722
9,20.882157976617243
10,21.233560449852504
11,21.92771881980601
12,22.705732868076584
13,23.339014488933135
14,23.74533540375213
15,23.93347701197704
16,23.977610546813292
17,23.961218474481523
18,23.949708002323973
19,23.975198205454628
20,24.0406855949156
21,24.130938161544563
22,24.225561888013967
23,24.30877590327048
24,24.372413118980138
25,24.417127950112047
26,24.448274888152937
27,24.471511912681546
28,24.491541509837553
29,24.510888139005186
30,24.530236072883334
31,24.54903055490514
32,24.566320837987508
33,24.581331559815116
34,24.593754131457054
35,24.603741352484384
36,24.6117453416851
37,24.618308428223312
38,24.623900923799958
39,24.628839810471113
40,24.633284918689476
41,24.624550825479133
42,24.603492045841406
43,24.552174886656772
44,24.461180904399946
45,24.349782605354918
46,24.236804869370317
47,24.139273094169173
48,24.064379123100924
49,24.011938108934242
50,23.976401142071346
51,23.950866476922688
52,23.929484316942812
53,23.908826840223735
54,23.887815429384766
55,23.866985518575106
56,23.847504660436872
57,23.83041039681619
58,23.816207219339873
59,23.812493263005152
60,23.818272278397867
61,23.843714827206156
62,23.893931784051173
63,23.956935058793093
64,24.02120955789069
65,24.07647320789029
66,24.118440330935897
67,24.147274643123886
68,24.16633829634823
69,24.179765797538423
70,24.191026038131803
71,24.20211587563939
72,24.213621304385338
73,24.225170700709548
74,24.236028941853576
75,24.245553409962174
76,24.253431149999585
77,24.25490780094638
78,24.25058874195098
79,24.23409783714821
80,24.202219617374038
81,24.162424300405267
82,24.121891640974848
83,24.08703588358394
84,24.06052859639042
85,24.042263530924345
86,24.030136856207065
87,24.021562105957084
88,24.014368364354215
89,24.00730424853671
90,24.0
91,23.992684581750794
92,23.985814631817945
93,23.979789564396793
94,23.97480330072432
95,23.97163152777304
96,23.970043346343413
97,23.97093390336779
98,23.974686731031998
99,23.979947056051355
100,23.985461088115017
101,23.990142363516735
102,23.99354986800546
103,23.9957096624973
104,23.99697432738887
105,23.997766985280073
106,23.998433630265524
107,23.999163548877483
108,24.0
109,24.00089013736485
110,24.001747702565858
111,24.002499863560203
112,24.003110555031636
113,24.036522186205445
114,24.100533210793692
115,24.24154798902216
116,24.483995525736894
117,24.778139300701714
118,25.07544107054322
119,25.33202512469069
120,25.529436519398974
121,25.668270598039605
122,25.76296509943809
123,25.83143027484111
124,25.8888382488241
125,25.94408809210669
126,26.0
127,26.055219314248426
128,26.106756274524418
129,26.15195590785485
130,26.189538987072844
131,26.21364644535235
132,26.225941046222154
133,26.219516291091548
134,26.19136414548315
135,26.15169880420339
136,26.1100156653834
137,26.07457291052716
138,26.04874785009764
139,26.03237330338279
140,26.022794957319146
141,26.01681079476662
142,26.011794191575927
143,26.00630239277182
144,26.0
145,25.993283032415565
146,25.986804195254372
147,25.98111697587238
148,25.976497339292273
149,25.97365958873701
150,25.972352054858153
151,25.97332197575998
152,25.976863855019957
153,25.981724582654415
154,25.986766205894813
155,25.991018173854513
156,25.994099441610366
157,25.99604918266391
158,25.997195531346353
159,25.997923716344424
160,25.99854447568545
161,25.99922482538161
162,26.0
163,26.000819862142873
164,26.001605830505742
165,26.00229277951847
166,26.00284942801637
167,26.003190763123694
168,26.003347992058806
169,26.003230477316833
170,26.002802031298742
171,26.002213976717282
172,26.001603814135144
173,26.001088982249726
174,26.000715668572834
175,26.000479248573697
176,26.000340105250785
177,26.000251669550206
178,26.00017634149379
179,26.00009388477413
180,26.0
181,25.999900723754354
182,25.99980554682797
183,25.999722344442013
184,25.999654905109857
185,26.0161318430041
186,26.04803188848185
187,26.11861766476656
188,26.240127602918218
189,26.387592249852865
190,26.536650568424516
191,26.66528627054986
192,26.76424107138501
193,26.833815780385745
194,26.881255762930245
195,26.91554726506797
196,26.94430146039046
197,26.97198138753521
198,27.0
199,27.027675924015206
200,27.053507933189547
201,27.076163279198553
202,27.094999819640826
203,27.107081146865426
204,27.113241163206627
205,27.110019290490552
206,27.09590858521467
207,27.076028377687628
208,27.055137483006888
209,27.03737448630836
210,27.024431777145317
211,27.01622539160055
212,27.011424970556767
213,27.00842574070129
214,27.00591135022163
215,27.00315878559274
216,27.0
217,26.996633491006133
