,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,3.84508972355507,1.8104242374894692,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,6.666666666566667,360.0,18.966787799831508,25.0,0.0
1,1.5628155316862866,1.9512543615877638,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,5.833333333233334,360.0,21.22006978540422,29.0,0.0
2,4.8280793035381535,1.6761132407956023,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.999999999900001,360.0,16.817811852729637,26.0,0.0
3,1.5184802268808895,1.8825841810885566,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.166666666466668,360.0,20.121346897416906,28.000000000000004,0.0
4,2.14881056949757,1.7685293855317075,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.3333333331333344,360.0,18.29647016850732,27.0,0.0
5,0.8,1.945575475257479,5.999999999999993,0.0,0.0,1.6855840748419624,1.0,0.0,0.0,1.0,0.0,0.0,2.8651155345661223,359.99999999999955,21.129207604119664,29.0,0.0
6,0.8,2.2307692569653046,5.999999999999993,2.8025291573458997,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,3.49568459496895,359.99999999999955,25.692308111444873,33.0,0.0
7,0.8,2.0179155099884003,6.0,0.3208313148332431,1.0,0.0,-0.0,0.0,1.1324274851176597e-14,1.0,0.0,0.0,3.5678716408064295,360.0,22.286648159814405,31.0,0.0
8,0.8,2.053567259515247,6.0,0.7844003713749403,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,3.744361724365791,300.0,22.857076152243955,30.999999999999996,0.0
9,0.8,2.049303050615742,6.0,0.9400676513303248,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,3.955876945915114,300.0,22.78884880985187,31.0,0.0
10,0.8,2.1289677019560576,6.0,2.377702392320342,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,4.490859984187191,300.0,24.06348323129692,32.0,0.0
11,0.8,2.1143284464590204,6.0,2.1972396476971574,1.0,0.0,-0.0,0.0,1.1324274851176597e-14,1.0,0.0,0.0,4.9852389049190515,300.0,23.829255143344326,32.0,0.0
12,0.8,2.353517626639663,2.9749430142469473,3.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,5.660238904919051,148.74715071234738,27.656282026234607,35.0,0.0
13,0.8,2.1512804809165598,5.17951230533504,3.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,6.335238904919051,258.975615266752,24.420487694664956,33.0,0.0
14,0.8,2.185674028018139,4.629215551709775,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,7.010238904919051,231.46077758548876,24.970784448290225,33.0,0.0
15,0.8,2.1815623785419063,4.695001943329499,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,7.685238904919051,234.75009716647497,24.9049980566705,33.00000000000001,0.0
16,0.8,2.02376516029132,6.0,1.780242564661127,1.0,0.0,-0.0,0.0,1.1324274851176597e-14,1.0,0.0,0.0,8.085793481967805,360.0,22.380242564661117,30.999999999999996,0.0
17,0.8,2.606892640187627,-3.1102822430020334,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,8.760793481967806,-186.616934580122,31.710282243002034,38.0,0.0
18,0.8,2.2639436545260088,2.376901527583848,3.0,1.0,0.0,-0.0,0.0,1.1324274851176597e-14,1.0,0.0,0.0,9.435793481967806,142.61409165503088,26.22309847241614,34.99999999999999,0.0
19,0.8,2.478557163364928,-1.0439223965462294,3.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,10.110793481967807,-62.63534379277377,29.65691461383885,37.0,0.0
20,0.8,2.5218111410376833,-1.7402558661453016,3.0,1.0,0.0,-0.0,0.0,1.1324274851176597e-14,1.0,0.0,0.0,10.785793481967808,-104.4153519687181,30.348978256602933,38.0,0.0
21,0.8,2.511527898157545,-1.5647584876594935,3.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,11.460793481967809,-93.88550925956962,30.184446370520718,38.0,0.0
22,0.8,2.591893513008416,-4.762222997581334,0.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,11.460793481967809,-285.73337985488007,31.470296208134656,39.0,0.0
23,0.8,2.5771692032297264,1.3652927483243786,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,12.13579348196781,81.91756489946272,31.234707251675623,39.0,0.0
24,0.8,2.5789253014685034,-1.6628048234960544,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,12.13579348196781,-116.39633764472381,31.262804823496054,39.0,0.0
25,0.8,2.9744514040021635,-6.0,0.9891315227969883,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,12.358348074597131,-420.0,37.591222464034615,44.00000000000001,0.0
26,0.8,2.585002799126779,-0.9700978545781354,0.0,0.0,0.21005306854967074,1.0,0.0,0.0,1.0,0.0,0.0,12.3,-67.90684982046947,31.360044786028467,40.0,0.0
27,0.8,2.572849490099024,0.4344081584156214,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,12.3,30.4085710890935,31.165591841584387,39.0,0.0
28,0.8,2.8960113148233253,-3.736181037173221,0.0,1.0,0.0,-0.0,0.0,1.1324274851176597e-14,1.0,0.0,0.0,12.3,-261.5326726021255,36.336181037173205,43.0,0.0
29,0.8,2.8369369596580882,-1.7847196863810382,0.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,12.3,-124.93037804667267,35.39099135452941,43.00000000000001,0.0
30,0.8,2.9231307377883824,-2.170091804614117,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,12.3,-151.90642632298818,36.77009180461412,44.00000000000001,0.0
31,0.8,2.907699973719976,-1.9231995795196184,0.0,1.0,0.0,-0.0,0.0,4.218847493575595e-15,1.0,0.0,0.0,12.3,-134.6239705663733,36.52319957951961,44.0,0.0
