,Q_ccgt
0,15.0
1,15.0
2,15.0
3,15.0
4,15.056426554122867
5,16.55642655412287
6,15.91526233123418
7,16.345909622831243
8,16.975886861585593
9,18.32669072007776
10,19.826690720077757
11,21.32669072007776
12,22.548622330254073
13,23.453827446473966
14,24.05607241678946
15,24.454593795394555
16,24.743647540056273
17,25.0
18,25.260601768685788
19,25.53210072514202
20,25.801235490269026
21,26.04986805857654
22,26.29349389297283
23,26.524927997710325
24,26.788327944629025
25,27.113150514970894
26,27.463905518859487
27,27.80470995619267
28,28.101132875483504
29,28.33879089826538
30,28.51850148134839
31,28.652670318793582
32,28.756853204970604
33,28.844636912338657
34,28.92453856090874
35,29.0
36,29.070832871359542
37,29.13527464856997
38,29.19163572043886
39,29.239217075424776
40,29.221047709225054
41,29.142283308299895
42,28.92368263117503
43,28.524175225964502
44,28.031576627747132
45,27.531163502122503
46,27.09973188987339
47,26.76956759958903
48,26.539693663939822
49,26.385037911553553
50,26.274539448333268
51,26.181960957465595
52,26.092016617676997
53,26.0
54,25.908443921851255
55,25.82268751953312
56,25.747448600133396
57,25.685021034230807
58,25.678173044047902
59,25.72185426123776
60,25.873901617189468
61,26.163675690723757
62,26.524313015208623
63,26.891393413415145
64,27.207257415989183
65,27.447836540354874
66,27.614034216989737
67,27.72474252395206
68,27.80322939280568
69,27.869053996069425
70,27.93351963134791
71,28.000000000000004
72,28.066474033055133
73,28.128859705535934
74,28.183578069946147
75,28.228890974357654
76,28.24122764369174
77,28.223789637114162
78,28.145168445864755
79,27.989628670007114
80,27.794433065860375
81,27.595325971442445
82,27.424192126314352
83,27.29429930448223
84,27.205114527021653
85,27.146193693811107
86,27.104709395068568
87,27.069908269482074
88,27.035607411864085
89,27.0
90,26.964246601114482
91,26.930631515298288
92,26.901149024303635
93,26.876769131204853
94,26.894319871227427
95,26.950430689428657
96,27.09596192077864
97,27.357242475617603
98,27.67774627620097
99,28.00265972616601
100,28.282674955528503
101,28.49713679799444
102,28.646776762890397
103,28.74780029712246
104,28.82023586820496
105,28.88098612230936
106,28.939895759872492
107,29.0
108,29.059678876230823
109,29.115510784275546
110,29.164476577492096
111,29.205117052629113
112,29.29717446227693
113,29.438012204913218
114,29.713233079529243
115,30.16856826301227
116,30.71525678531568
117,31.266170341430655
118,31.742202313515513
119,32.10997228927714
120,32.370488615737614
121,32.54984210095762
122,32.68049795199934
123,32.79005002784569
124,32.89478709762725
125,33.0
126,33.103395312307335
127,33.1996774696972
128,33.28411594875783
129,33.35444074310717
130,33.36664573253703
131,33.32602521191937
132,33.173047665352655
133,32.877538673215135
134,32.50851583264796
135,32.13246585328634
136,31.808891565576232
137,31.562653172372983
138,31.392856586512632
139,31.28005586623393
140,31.20028957128165
141,31.133417021597566
142,31.06780671107339
