intervals,GRID_PRICE
1,360.0
2,360.0
3,360.0
4,360.0
5,360.0
6,360.0
7,360.0
8,360.0
9,300.0
10,300.0
11,300.0
12,300.0
13,300.0
14,300.0
15,300.0
16,300.0
17,360.0
18,321.3360001117463
19,290.6716185469434
20,148.0689867123462
21,98.80479158797002
22,110.24188189937277
23,98.28335100876572
24,285.94777042375154
25,-102.36300668196243
26,-120.6243941217133
27,-193.12005161444546
28,-286.030156302593
29,-185.0893503459141
30,-206.9829216454653
31,-120.6490490812309
32,-122.65000517026422
33,-32.54071447421275
34,-68.37707129874865
35,-50.48645390414684
36,-138.6044164551563
37,16.12164351065381
38,-73.34118839693403
39,-311.62545511087865
40,-266.7111482235827
41,-140.0357206542838
42,-212.62529596446072
43,-290.2881584799264
44,-407.526171905102
45,-480.0
46,-480.0
47,-480.0
48,-480.0
49,-480.0
50,-480.0
51,-480.0
52,-480.0
53,-480.0
54,-480.0
55,-480.0
56,-480.0
57,-480.0
58,-480.0
59,-540.0
60,-540.0
61,-540.0
62,-176.19181041955457
63,-327.20164036662527
64,-286.37696084190634
65,105.64354966851639
66,540.0
67,540.0
68,540.0
69,540.0
70,540.0
71,540.0
72,540.0
73,570.0
74,570.0
75,570.0
76,570.0
77,22.31590096072651
78,-10.925434667234413
79,-80.68801454188801
80,-199.14531004882647
81,-373.98676903342556
82,-465.5237038110858
83,-507.9861621270644
84,-540.0
85,-540.0
86,-540.0
87,-540.0
88,-480.0
89,-480.0
90,-441.00095110117707
91,79.88242584084146
92,192.69711858591222
93,480.0
94,480.0
95,480.0
96,480.0
