Intervals,Q_CCGT
1,25.89489187290896
2,24.39489187290896
3,22.89489187290896
4,24.39489187290896
5,24.385551377557565
6,23.633642426355916
7,22.133642426355916
8,21.206472310045722
9,20.882157976617318
10,21.233560449852536
11,21.927718819806028
12,22.705732868076616
13,23.339014488933174
14,23.745335403752183
15,23.933477011977086
16,23.97761054681333
17,23.96121847448155
18,23.949708002323998
19,23.97519820545465
20,24.040685594915615
21,24.130938161544577
22,24.22556188801398
23,24.308775903270494
24,24.37241311898016
25,24.417127950112064
26,24.448274888152955
27,24.47151191268156
28,24.491541509837568
29,24.510888139005193
30,24.530236072883337
31,24.549030554905148
32,24.566320837987508
33,24.58133155981512
34,24.593754131457064
35,24.603741352484402
36,24.611745341685122
37,24.618308428223337
38,24.62390092379998
39,24.628839810471135
40,24.633284918689498
41,24.624550825479155
42,24.603492045841435
43,24.552174886656818
44,24.461180904399995
45,24.349782605354953
46,24.236804869370342
47,24.139273094169187
48,24.06437912310093
49,24.011938108934245
50,23.976401142071346
51,23.950866476922695
52,23.929484316942826
53,23.908826840223753
54,23.887815429384784
55,23.866985518575124
56,23.847504660436886
57,23.830410396816198
58,23.816207219339876
59,23.812493263005155
60,23.818272278397874
61,23.843714827206146
62,23.893931784051162
63,23.956935058793086
64,24.021209557890685
65,24.076473207890288
66,24.118440330935893
67,24.147274643123886
68,24.166338296348226
69,24.179765797538423
70,24.19102603813181
71,24.2021158756394
72,24.213621304385352
73,24.225170700709555
74,24.236028941853576
75,24.24555340996217
76,24.25343114999958
77,24.254907800946377
78,24.250588741950978
79,24.234097837148205
80,24.202219617374034
81,24.16242430040526
82,24.121891640974834
83,24.08703588358392
84,24.060528596390398
85,24.042263530924323
86,24.030136856207044
87,24.02156210595707
88,24.014368364354205
89,24.007304248536702
90,24.0
91,23.992684581750794
92,23.985814631817945
93,23.97978956439679
94,23.97480330072431
95,23.97163152777303
96,23.9700433463434
97,23.970933903367765
98,23.97468673103197
99,23.979947056051323
100,23.985461088114988
101,23.990142363516703
102,23.99354986800543
103,23.99570966249728
104,23.996974327388845
105,23.99776698528005
106,23.99843363026551
107,23.999163548877476
108,23.999999999999996
109,24.000890137364845
110,24.00174770256585
111,24.00249986356019
112,24.00311055503162
113,24.036522186205428
114,24.100533210793685
115,24.24154798902216
116,24.4839955257369
117,24.778139300701717
118,25.07544107054322
119,25.332025124690684
120,25.52943651939896
121,25.66827059803959
122,25.76296509943807
123,25.83143027484109
124,25.888838248824083
125,25.94408809210668
126,25.999999999999996
127,26.05521931424842
128,26.106756274524415
129,26.151955907854845
130,26.189538987072844
131,26.21364644535235
132,26.225941046222157
133,26.219516291091537
134,26.191364145483142
135,26.151698804203388
136,26.1100156653834
137,26.074572910527166
138,26.04874785009765
139,26.0323733033828
140,26.022794957319157
141,26.016810794766627
142,26.01179419157593
143,26.00630239277182
144,26.000000000000004
145,25.99328303241557
146,25.98680419525438
147,25.98111697587239
148,25.97649733929228
149,25.973659588737018
150,25.972352054858167
151,25.973321975759994
152,25.976863855019964
153,25.981724582654422
154,25.986766205894817
155,25.991018173854517
156,25.99409944161037
157,25.996049182663914
158,25.997195531346353
159,25.997923716344424
160,25.99854447568545
161,25.99922482538161
162,26.0
163,26.000819862142873
164,26.001605830505742
165,26.00229277951847
166,26.00284942801637
167,26.003190763123694
168,26.003347992058806
169,26.003230477316826
170,26.002802031298735
171,26.00221397671728
172,26.001603814135144
173,26.001088982249726
174,26.000715668572834
175,26.0004792485737
176,26.000340105250785
177,26.000251669550202
178,26.000176341493788
179,26.000093884774127
180,25.999999999999996
181,25.999900723754344
182,25.99980554682796
183,25.999722344442
184,25.999654905109843
185,26.01613184300409
186,26.04803188848185
187,26.118617664766568
188,26.24012760291823
189,26.387592249852872
190,26.536650568424523
191,26.665286270549863
192,26.764241071385012
193,26.833815780385745
194,26.881255762930248
195,26.91554726506798
196,26.944301460390466
197,26.971981387535216
198,27.000000000000007
199,27.027675924015217
200,27.05350793318956
201,27.07616327919857
202,27.09499981964084
203,27.107081146865436
204,27.113241163206627
205,27.110019290490555
206,27.095908585214673
207,27.07602837768762
208,27.05513748300688
209,27.037374486308355
210,27.024431777145317
211,27.016225391600557
212,27.01142497055677
213,27.008425740701295
214,27.00591135022163
