intervals,P_CCGT
1,16.045275745452354
2,16.091386352271595
3,15.115265505293394
4,15.703466834794376
5,15.33599863907289
6,15.397422788986894
7,17.922829919980625
8,17.45726257239823
9,17.512778132533768
10,17.50604840152554
11,18.773240909461435
12,18.539913203625012
13,19.834114122304836
14,19.597512325194636
15,19.62573265138666
16,19.62231175571486
17,17.089971712754412
18,21.355511109248678
19,21.866584135328726
20,24.25628688319798
21,25.07308697510259
22,24.893434295649463
23,26.18112847151835
24,25.945314937381923
25,25.97343977799629
26,27.23640768265892
27,28.269968991317477
28,30.597256201148156
29,30.155244687481314
30,31.474281659908996
31,31.234668955128697
32,31.263254042114887
33,29.993411727818007
34,31.493437686442732
35,31.23234616688464
36,32.5299126819104
37,32.292903159133274
38,33.5875501085117
39,37.15002598277784
40,36.4785660091467
41,37.824956720285265
42,38.848405326933886
43,39.9105404077248
44,39.70160944022363
45,42.8960000012084
46,42.89600000000033
47,42.89600000000028
48,42.89600000000001
49,42.89600000000017
50,42.896000000000214
51,42.89600000000021
52,42.896000000000214
53,42.89600000000018
54,42.89600000000018
55,42.89600000000019
56,41.631592277441655
57,41.86445850042612
58,41.8366900321335
59,38.67586826632454
60,39.018609988457264
61,39.380626828008126
62,34.730640859100816
63,35.58259768109025
64,35.48098876912607
65,32.96055148790934
66,29.626385517583145
67,29.00425243699162
68,29.160767123236027
69,25.343123694431995
70,26.04505528096246
71,25.961348163040228
72,29.770627005748622
73,29.06971088454698
74,35.48518112626022
75,34.30890414794571
76,36.981944696228304
77,42.830367280707435
78,41.721906138247164
79,41.853972393509174
80,42.896
81,42.896
82,42.896
83,42.896
84,42.896000000000186
85,42.89600000000026
86,42.89600000000022
87,42.89600000000021
88,38.636918538361215
89,38.014846268427505
90,37.51597233047404
91,28.754138652885445
92,25.309012493101996
93,18.450464317351248
94,18.495634204976927
95,17.30626392682302
96,14.997865058634588
