intervals,GRID_PRICE
1,90.0
2,90.0
3,90.0
4,90.0
5,90.0
6,90.0
7,90.0
8,90.0
9,75.0
10,75.0
11,75.0
12,75.0
13,75.0
14,75.0
15,75.0
16,75.0
17,90.0
18,71.99568015516195
19,90.0
20,88.05938118762722
21,72.12651601202658
22,72.29099839808036
23,72.74796054038593
24,90.0
25,-25.51866055423306
26,-100.5501727588508
27,-26.532281289488218
28,9.481339445766945
29,-47.07314349525396
30,-29.463389302657323
31,-30.58676423050912
32,-30.58676423050912
33,-11.7680613214365
34,-12.990316986892944
35,-13.08676423050912
36,-30.922461590566023
37,3.6113867522868763
38,-14.611620345742812
39,-104.40746290084768
40,-67.90219424705826
41,-31.185120645063765
42,-49.935784591512416
43,-69.27775704179295
44,-102.24355232935743
45,-120.0
46,-120.0
47,-120.0
48,-120.0
49,-120.0
50,-120.0
51,-120.0
52,-120.0
53,-120.0
54,-120.0
55,-120.0
56,-120.0
57,-120.0
58,-120.0
59,-135.0
60,-135.0
61,-135.0
62,-61.147279638516046
63,-79.73070863052149
64,-71.81073926853577
65,85.28559035729285
66,-24.703740425903433
67,53.57339776268116
68,127.91780027237353
69,135.0
70,135.0
71,135.0
72,135.0
73,142.5
74,82.47917200305997
75,142.5
76,99.11972342320888
77,-54.394864964354774
78,-90.41672743285179
79,-110.11127157552049
80,-125.69999592851707
81,-150.0
82,-150.0
83,-150.0
84,-135.0
85,-135.0
86,-135.0
87,-135.0
88,-120.0
89,-120.0
90,-120.0
91,-48.473187462024896
92,19.639065496351122
93,120.0
94,120.0
95,120.0
96,120.0
