,Q_CCGT
149,30.72183016
150,30.73008739
151,30.764931
152,30.81377913
153,30.86498649
154,30.9084614
155,30.94010686
156,30.96016419
157,30.97190769
158,30.97926718
159,30.98545629
160,30.99223326
161,31
162,31.00826574
163,31.01622931
164,31.02321419
165,31.02888533
166,31.03236785
167,31.03397233
168,31.03278037
169,31.02842912
170,31.02245755
171,31.01626334
172,31.01103888
173,31.00725244
174,31.00485612
175,31.00344693
176,31.00255169
177,31.00178864
178,31.00095252
179,31
180,30.9989926
181,30.99802685
182,30.99718273
183,30.99649869
184,31.01259735
185,31.0443237
186,31.11504022
187,31.23702514
188,31.38514126
189,31.53487527
190,31.66408092
191,31.76344889
192,31.8332852
193,31.88087913
194,31.91526851
195,31.94410612
196,31.97187739
197,32
198,32.02778588
199,32.05372328
200,32.07647074
201,32.09538194
202,32.10750909
203,32.11369013
204,32.1104524
205,32.09628417
206,32.07632508
207,32.05535237
208,32.03752038
209,32.02452766
210,32.01628962
211,32.01147057
212,32.00845949
213,32.005935
214,32.00317138
215,32
216,31.99662018
217,31.99336031
218,31.99049882
219,31.98817451
220,32.03630118
221,32.13140211
222,32.3436066
223,32.70976407
224,33.15439025
225,33.60387961
226,33.991738
227,34.29001602
228,34.49963441
229,34.64248006
230,34.74568858
231,34.83223608
232,34.91558824
233,35
234,35.08340416
235,35.16126097
236,35.22954228
237,35.28630734
238,35.28967174
239,35.24438446
240,35.09352024
241,34.80807435
242,34.45337678
243,34.09245571
244,33.78178462
245,33.5449669
246,33.38114781
247,33.27183687
248,33.19423721
249,33.12916937
250,33.06553393
251,33
252,32.93452715
253,32.87310125
254,32.81922163
255,32.77458824
256,32.74614998
257,32.73186014
258,32.73976555
259,32.77332372
260,32.82040789
261,32.86978588
262,32.91171825
263,32.94224613
264,32.96159651
265,32.97292452
266,32.98002013
267,32.98598423
268,32.99251446
269,33
270,33.00796831
271,33.01564676
272,33.02238245
273,33.02785169
274,33.03121042
275,33.0327579
276,33.03160859
277,33.02741277
278,33.0216545
279,33.0156816
280,33.01064387
281,33.00699284
282,33.00468227
283,33.00332356
284,33.0024604
285,33.00172467
286,33.00091847
287,33
288,32.99902862
289,32.99809738
290,32.99728344
291,32.99662387
292,32.9631831
293,32.89915758
294,32.75815248
295,32.51574322
296,32.22165298
297,31.92440751
298,31.66787153
299,31.47049541
300,31.33168397
301,31.23700293
302,31.16854629
303,31.11114544
304,31.05590324
305,31
306,30.94478986
307,30.89326174
308,30.84806988
309,30.81049313
310,30.90201654
311,31.11316109
312,31.61358985
313,32.49194649
314,33.56335974
315,34.64792547
316,35.58337329
317,36.30155858
318,36.80475086
319,37.14628824
320,37.39223635
321,37.59846748
322,37.79764797
323,38
324,38.20036302
325,38.3875839
326,38.55178674
327,38.68820389
328,38.72602092
329,38.67467263
330,38.43944457
331,37.97279661
332,37.38665526
333,36.78848873
334,36.27423103
335,35.8838626
336,35.61585588
337,35.43885249
338,35.3142969
339,35.20984813
340,35.1068986
341,35
342,34.89263332
343,34.79166621
344,34.70309999
345,34.62985857
346,34.61637339
347,34.65699748
348,34.81132145
349,35.10940077
350,35.4814359
351,35.86033983
352,36.18617729
353,36.43398571
354,36.60475951
355,36.71815954
356,36.79835671
357,36.86563884
358,36.93170107
359,37
360,37.06839723
361,37.13262661
362,37.18895653
363,37.23557546
364,37.2817494
365,37.32851966
366,37.39076724
367,37.47713928
368,37.57535106
369,37.67278088
370,37.75758515
371,37.82463491
372,37.87398703
373,37.90958566
374,37.93645531
375,37.95896758
376,37.97981318
377,38
378,38.01934146
379,38.03714397
380,38.05275673
381,38.06587527
382,38.07444528
383,38.07898737
384,38.07696713
385,38.06724357
386,38.05338436
387,38.03873904
388,38.02624388
389,38.01711909
390,38.01132897
391,38.00794946
392,38.00585291
393,38.0041079
394,38.00219837
395,38
396,37.99764923
397,37.99537589
398,37.99337667
399,37.99175112
400,38.00727001
401,38.03872917
402,38.10964188
403,38.23234464
404,38.38144566
405,38.53220066
406,38.66226679
407,38.76225774
408,38.83248778
409,38.88031287
410,38.91484896
411,38.94381181
412,38.97172057
413,39
414,39.02795178
415,39.05404822
416,39.07693464
417,39.09595839
418,39.10815452
419,39.11436729
420,39.11110575
421,39.09685084
422,39.07677281
423,39.05567672
424,39.03774062
425,39.02467241
426,39.01638656
427,39.01153937
428,39.0085104
429,39.00597067
430,39.00319037
431,39
432,38.9966001
433,38.99332098
434,38.99044267
435,38.98810472
436,38.98666859
437,38.98600688
438,38.98649778
439,38.98829037
440,38.99075045
441,38.99330209
442,38.99545408
443,38.99701357
444,38.99800038
445,38.99858059
446,38.99894914
447,38.99926333
448,38.99960767
449,39
450,39.00041495
451,39.00081274
452,39.00116042
453,39.00144215
454,39.08420563
455,39.24388318
456,39.59668447
457,40.2037599
458,40.9404298
459,41.6850421
460,42.32764655
461,42.82200374
462,43.16961303
463,43.40665737
464,43.57801616
465,43.72170331
466,43.8600113
467,44
468,44.13826917
469,44.26732324
470,44.38050725
471,44.47461476
472,44.4689028
473,44.37200278
474,44.07362006
475,43.51729015
476,42.82839438
477,42.12808554
478,41.52504834
479,41.0647486
480,40.74556569
481,40.5318907
482,40.37978371
483,40.25224172
484,40.12781023
485,40
486,39.87252533
487,39.75302086
488,39.64819955
489,39.56131903
490,39.48939013
491,39.42956623
492,39.3743038
493,39.31813192
494,39.26239564
495,39.2095628
496,39.16265785
497,39.12321249
498,39.09136013
499,39.06600092
500,39.0455352
501,39.02839761
502,39.01343664
503,39
504,38.98784918
505,38.97697957
506,38.96745083
507,38.95927339
508,39.01981077
509,39.14434528
510,39.42761625
511,39.91938424
512,40.51761709
513,41.1228053
514,41.64504318
515,42.04650803
516,42.32839504
517,42.52023965
518,42.65867978
519,42.77474073
520,42.88660206
521,43
522,43.1121291
523,43.2168433
524,43.30868841
525,43.38503167
526,43.43397095
527,43.45889355
528,43.44579769
529,43.38859391
530,43.30802935
531,43.22338394
532,43.15142027
533,43.09898939
534,43.06574669
535,43.04630008
536,43.03414766
537,43.02395735
538,43.01280135
539,43
540,42.98635815
541,42.97320117
542,42.96165259
543,42.95227225
544,42.96302841
545,42.99229319
546,43.06483507
547,43.19348594
548,43.35074997
549,43.50997208
550,43.64717947
551,43.75234582
552,43.82585099
553,43.87560189
554,43.91136139
555,43.94136706
556,43.97041861
557,44
558,44.02932877
559,44.05674528
560,44.08078549
561,44.1007442
562,44.11351367
563,44.11999055
564,44.11653166
565,44.10155714
566,44.08049142
567,44.05837049
568,44.03956967
569,44.02587444
570,44.01719149
571,44.0121106
572,44.0089331
573,44.00626685
574,44.00334805
575,44
576,43.99643336
577,43.99299438
578,43.98997632
579,43.9875251
580,43.96950133
581,43.936888
582,43.86683062
583,43.74725191
584,43.60243813
585,43.45612969
586,43.32981344
587,43.23253967
588,43.16402879
589,43.11721435
590,43.08332019
591,43.05490464
592,43.02759581
593,43
594,42.97277126
595,42.94736797
596,42.92508735
597,42.90655448
598,42.91117748
599,42.93702294
600,43.01075298
601,43.1460885
602,43.31304145
603,43.48258369
604,43.62863879
605,43.74028702
606,43.81791017
607,43.87005761
608,43.9072893
609,43.93850765
610,43.96888518
611,44
612,44.03097623
613,44.05999187
614,44.08544204
615,44.10654884
616,44.1200248
617,44.12682729
618,44.12312867
619,44.10727736
620,44.08500854
621,44.06164021
622,44.04178787
623,44.02733112
624,44.01816672
625,44.01280304
626,44.00944601
627,44.00662659
628,44.00353971
629,44
630,43.99623061
631,43.99259728
632,43.98940939
633,43.9868206
634,44.0017488
635,44.03293584
636,44.10405186
637,44.22749599
638,44.37761458
639,44.52942541
640,44.66038242
641,44.76101936
642,44.8316585
643,44.87972436
644,44.91441348
645,44.94350667
646,44.97155812
647,45
648,45.02812357
649,45.0543847
650,45.0774151
651,45.09655555
652,45.10882326
653,45.11506903
654,45.11178289
655,45.09743819
656,45.0772369
657,45.05601291
658,45.03796888
659,45.02482242
660,45.016487
661,45.01161064
662,45.00856314
663,45.00600763
664,45.00321004
665,45
666,44.99657929
667,44.99328022
668,44.99038447
669,44.98803238
670,45.00310572
671,45.03435961
672,45.10542565
673,45.22868757
674,45.37855609
675,45.53010744
676,45.66084551
677,45.76132371
678,45.83186231
679,45.879869
680,45.91452051
681,45.94358166
682,45.97159804
683,46
684,46.02808135
685,46.05430201
686,46.07729702
687,46.09640879
688,46.16417062
689,46.27767886
690,46.51156707
691,46.90542378
692,47.38059076
693,47.86008201
694,48.27415337
695,48.59342542
696,48.81882123
697,48.97332398
698,49.0854865
699,49.17953693
700,49.26973259
701,49.36064992
702,49.45020295
703,49.53368227
704,49.60689347
705,49.66782028
706,49.7010046
707,49.70952162
708,49.67374077
709,49.58433739
710,49.46686992
711,49.34552543
712,49.24164793
713,49.16406575
714,49.11240849
715,49.07976273
716,49.05769471
717,49.03919718
718,49.02031761
719,49
720,48.97913114
721,48.95931093
722,48.94191837
723,48.92763351
724,48.93221525
725,48.95403981
726,49.01462716
727,49.1250268
728,49.26090625
729,49.39874738
730,49.51744751
731,49.60819355
732,49.67132559
733,49.71379111
734,49.7441555
735,49.76963297
736,49.79441166
737,49.81976712
738,49.84498849
739,49.86860066
740,49.88930622
741,49.90647858
742,49.92021174
743,49.93109783
744,49.93991409
745,49.94736311
746,49.95393185
747,49.95987031
748,49.96524988
749,49.97005113
750,49.97424103
751,49.97781882
752,49.9808288
753,49.98334943
754,49.98547246
755,49.98728346
756,49.98884991
757,49.99021816
758,49.99141693
759,49.99246387
760,49.99337181
761,49.99415314
762,49.99482158
763,49.99539207
764,49.99587953
765,49.99629764
766,49.9966579
767,49.99696947
768,49.99723938
769,49.99747308
770,49.99767501
771,49.99784904
772,49.99799869
773,49.99812724
774,49.99823766
775,49.99833261
776,49.9984144
777,49.99848493
778,49.9985458
779,49.99859834
780,49.99864365
781,49.99868271
782,49.99871635
783,49.9987453
784,49.99877021
785,49.99879167
786,49.99881015
787,49.99882607
788,49.9988398
789,49.99885163
790,49.99886183
791,49.99887062
792,49.99887819
793,49.99888471
794,49.99889033
795,49.99889517
796,49.99889934
797,49.99890293
798,49.99890602
799,49.99890869
800,49.99891099
801,49.99891297
802,49.99891468
803,49.99891615
804,49.99891741
805,49.9989185
806,49.99891944
807,49.99892025
808,49.99892095
809,49.99892155
810,49.99892207
811,49.99892251
812,49.9989229
813,49.99892323
814,49.99892351
815,49.99892376
816,49.99892397
817,49.99892415
818,49.99892431
819,49.99892445
820,49.99892456
821,49.99892466
822,49.99892475
823,49.99892483
824,49.99892489
825,49.99892495
826,49.99892499
827,49.99892503
828,49.99892507
829,49.9989251
830,49.99892513
831,49.99892515
832,49.99892517
833,49.99892519
834,49.9989252
835,49.99892521
836,49.99892522
837,49.99892523
838,49.99892524
