Intervals,Q_CCGT
1,22.130483281932577
2,23.630483281932577
3,25.13048328193258
4,26.630483281932577
5,25.130483281932577
6,23.630483281932584
7,25.130483281932577
8,26.40940082477521
9,27.6546364196087
10,28.004275521230703
11,27.75849055111293
12,27.059855990318347
13,26.281562976703732
14,25.62265685052118
15,25.203349139245184
16,25.009102720581694
17,24.971486906407325
18,25.0
19,25.025823011372136
20,25.012338076733034
21,24.95513015390577
22,24.913276894895322
23,24.905402515637007
24,25.011228431936456
25,25.27266379330564
26,25.624033250501867
27,25.995683876625513
28,26.32220520620495
29,26.573024022614042
30,26.745332328796938
31,26.85725201326356
32,26.93326326895661
33,26.994926293287662
34,27.055341006607414
35,27.11895669720809
36,27.184033084232993
37,27.24619655444048
38,27.301326644935617
39,27.347170721470185
40,27.358528864699963
41,27.338577363599743
42,27.254132218241203
43,27.08862865916909
44,26.881425946410523
45,26.67027261267357
46,26.48881568558584
47,26.351036563325543
48,26.256340874184396
49,26.193674950226963
50,26.149476252852622
51,26.11238015313906
52,26.075853229649123
53,26.037985362405685
54,26.0
55,25.96430631693373
56,25.933006229666162
57,25.907119530285456
58,25.896130955316686
59,25.898465085964745
60,25.926441954690624
61,25.98608744596543
62,26.062120160104396
63,26.13998716729146
64,26.20678044308235
65,26.25715616851926
66,26.291351314840213
67,26.313590133872214
68,26.329036982779805
69,26.3420011082131
70,26.354938429645347
71,26.36853967149529
72,26.382305289868267
73,26.395291797500825
74,26.40668120388154
75,26.41607449387451
76,26.407667438057967
77,26.382878979955823
78,26.319859784478282
79,26.207284578921964
80,26.069373968730943
81,25.929623428966348
82,25.80917453397922
83,25.71688365223048
84,25.65243545917396
85,25.608877047671445
86,25.57761447596095
87,25.55139345983306
88,25.525986605246032
89,25.500087539781333
90,25.474387358917838
91,25.450350833663947
92,25.429270924451345
93,25.41177207337017
94,25.40490294809259
95,25.407584522690694
96,25.42909196543632
97,25.474008802068994
98,25.531049595344605
99,25.58942924864556
100,25.6395555903385
101,25.677443153371783
102,25.70325307602661
103,25.72011670299489
104,25.73187320334716
105,25.74173328779341
106,25.751533524973592
107,25.76179822555951
108,25.77216449529118
109,25.781936249584774
110,25.79050796191212
111,25.797583869560384
112,25.838059907658153
113,25.90983791845658
114,26.06233330348465
115,26.32167420935564
116,26.635409433130043
117,26.952262505933327
118,27.225821385898563
119,27.436543095558193
120,27.585041973961747
121,27.686595955555482
122,27.760176373037993
123,27.821870434011636
124,27.881131636079868
125,27.94097750120627
126,28.000000000000007
127,28.055052319770994
128,28.10333511413794
129,28.14350078858762
130,28.138203508884907
131,28.09131301419849
132,27.95167874984054
133,27.693052808019637
134,27.37330343666658
135,27.048393097559693
136,26.768556775929525
137,26.554820434674344
138,26.406443340312677
139,26.306964167914863
140,26.236060339073777
141,26.176609112651445
142,26.118673287144034
143,26.059235646425147
144,26.0
145,25.94448693528751
146,25.895794534840245
147,25.85542563088599
148,25.828599195285204
149,25.813550494656948
150,25.816084174899
151,25.838558546615907
152,25.871618092581947
153,25.906669261793795
154,25.936312627306744
155,25.9575557832435
156,25.97057911328834
157,25.97776757485694
158,25.981970818157436
159,25.98550519620137
160,25.989620796001528
161,25.994580048371734
162,26.0
163,26.00527833982529
164,26.00990981750053
165,26.013642366350464
166,26.01599929356214
167,26.017190696050786
168,26.01677653567255
169,26.014610297513155
170,26.011556537263935
171,26.00838336032671
172,26.00573356203349
173,26.00385158863488
174,26.002702768284884
175,26.002064246426496
176,26.00167994791217
177,26.001346836849986
178,26.000958960852834
179,26.000497728234972
180,26.0
181,25.99951998129784
182,25.999101675860476
183,25.998765887023733
184,26.014627792705
185,26.045581000063027
186,26.114290616169853
187,26.23267476774058
188,26.3763760365834
189,26.52163621029942
190,26.64698756253709
191,26.743404457931973
192,26.811182179954645
193,26.857386469273344
194,26.890779257655254
195,26.918780701982335
196,26.94574086745391
197,26.97303584607135
198,27.000000000000004
199,27.02516875150664
200,27.0472421933203
201,27.065594041860187
202,27.077849731956814
203,27.08478910185258
204,27.083725649414365
205,27.07355176543465
206,27.058520772968713
207,27.042552404678805
208,27.029030948056977
209,27.01933270504799
210,27.013384573469533
211,27.010103490580097
212,27.00819032167439
213,27.006586525032347
214,27.00471903423731
215,27.002465735750587
216,27.0
217,26.997596372891046
218,26.995485883789154
219,26.993784360315082
220,27.040930169384826
221,27.133568054780877
222,27.33977409927594
223,27.695328082762725
224,28.126997172210473
225,28.5633642640151
226,28.939907455004555
227,29.229504931296383
228,29.433049305686165
229,29.571779240275337
230,29.672027977617002
231,29.756093503371716
232,29.83704551239787
233,29.91901561387926
234,29.999999999999996
235,30.075594875495728
236,30.141892377982497
237,30.197009826947706
238,30.201668884819313
239,30.16038600693986
240,30.019843927765464
241,29.75290846851494
242,29.420913111941562
243,29.083007815130713
244,28.79217546632841
245,28.570556020963508
246,28.417345102184203
247,28.31519844343597
248,28.24273669698628
249,28.1819772165722
250,28.1225180869843
251,28.061243885924725
252,28.0
253,27.942530358506378
254,27.892120653657578
255,27.850367516652533
256,27.822666913652533
257,27.807176350355903
258,27.809863617169512
259,27.83314127370512
260,27.867333188580723
261,27.903560972227194
262,27.934186851677776
263,27.956127792043155
264,27.969577049472495
265,27.977002227573013
266,27.981347934997782
267,27.985005810236785
268,27.98926522375641
269,27.994395495419916
270,28.0
271,28.00545632501577
272,28.01024290305893
273,28.014099954191025
274,28.016535329716532
275,28.017766453299537
276,28.017338495413966
277,28.015099857982573
278,28.011943956618843
279,28.008664557874063
280,28.005925984866636
281,28.00398089612028
282,28.00279349657954
