intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,Q_CCGT,SOC
33,7.0,2.5125628140703515,-0.6724606469392285,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,38.0,12.974999999999998
34,7.0,2.5786828881248343,-0.7423038278224539,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,39.0,12.974999999999998
35,7.0,2.5786828881248343,-0.7478150988862353,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,39.0,12.974999999999998
36,7.0,2.6448029621793174,-1.766997805175201,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,40.0,12.974999999999998
37,7.0,2.6448029621793174,0.20636495727353577,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,40.0,12.974999999999998
38,7.0,2.7109230362338,-0.8349497340424463,0.0,1.0,0.0,-0.0,0.0,-3.552713678800501e-15,1.0,5.0,0.0,41.0,12.974999999999998
39,7.0,3.041523406506215,-5.966140737191296,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,46.0,12.974999999999998
40,7.0,2.909283258397249,-3.8801253855461866,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,44.0,12.974999999999998
41,7.0,2.975403332451732,-1.7820068940036435,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,45.0,12.974999999999998
42,7.0,3.041523406506215,-2.8534734052292805,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,46.0,12.974999999999998
43,7.0,3.107643480560698,-3.95872897381674,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,47.0,12.974999999999998
44,7.0,3.107643480560698,-5.842488704534709,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,5.0,0.0,47.0,12.974999999999998
45,6.879145825920254,3.1737635546151806,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,48.0,12.974999999999998
46,3.7882737155011057,3.3060000000000005,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0000559999999865,5.0,0.0,49.99994400000001,12.974999999999998
47,4.706525149440033,3.3060000000000005,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0000559999999865,5.0,0.0,49.99994400000001,12.974999999999998
48,4.156318920291099,3.3060000000000005,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0000559999999865,5.0,0.0,49.99994400000001,12.974999999999998
49,4.020739683485388,3.3060000000000005,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0000559999999865,5.0,0.0,49.99994400000001,12.974999999999998
50,3.1426172785884745,3.3060000000000005,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0000559999999865,5.0,0.0,49.99994400000001,12.974999999999998
51,6.650427557022148,3.3060000000000005,-6.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0000559999999865,5.0,0.0,49.99994400000001,13.649999999999999
